log_id,timestamp,junction_id,neighbor_junction_id,message_type,priority_class,day_type,is_festival,is_rain,is_accident,proposed_green_time_sec,counter_offer_time_sec,final_agreed_time_sec,negotiation_rounds,response_latency_ms,congestion_index,avg_speed_kmph,waiting_time_sec,travel_time_sec,fuel_consumption_l,co2_emission_kg,confidence_score,recommendation_reason
LOG1006347,2025-01-11 12:42:41.000000,J015,J006,COUNTER,Normal,Weekend,False,False,False,27.5,21.9,23.6,2,297,0.216,27.1,15.9,77.9,0.065,0.151,0.976,Normal free-flow traffic - standard signal timing maintained
LOG1006348,2025-01-03 22:02:24.000000,J027,J001,COUNTER,Normal,Weekday,False,False,False,19.8,12.2,17.3,2,297,0.16,39.3,8.5,60.6,0.061,0.141,0.948,Normal free-flow traffic - standard signal timing maintained
LOG1006349,2025-07-22 17:02:54.000000,J007,J008,COUNTER,Normal,Weekday,False,True,False,89.2,50.9,63.6,2,246,0.87,12.2,57.0,152.5,0.057,0.132,0.866,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
LOG1006350,2026-02-26 18:46:01.000000,J034,J011,COUNTER,Normal,Weekday,False,False,False,87.5,64.2,74.3,2,318,0.869,13.0,56.1,213.0,0.096,0.221,0.921,Heavy congestion detected - signal timing extended and reroute suggested
LOG1006351,2026-06-29 08:46:20.000000,J038,J036,DENY_THEN_COUNTER,Bus,Weekday,False,False,False,102.0,82.7,83.5,4,386,0.604,18.1,42.5,110.5,0.042,0.098,0.91,Bus priority granted - green extension issued to reduce transit delay
LOG1006352,2026-01-23 13:15:48.000000,J003,J031,COUNTER,Normal,Weekday,False,False,False,20.8,15.8,16.1,2,321,0.148,30.3,11.5,78.4,0.066,0.151,0.957,Normal free-flow traffic - standard signal timing maintained
LOG1006353,2025-11-08 10:18:20.000000,J017,J027,COUNTER,Normal,Weekend,False,False,False,50.2,37.8,38.9,2,360,0.449,25.8,26.2,101.9,0.06,0.139,0.952,Moderate traffic flow - standard adaptive signal timing in effect
LOG1006354,2026-02-14 21:03:39.000000,J006,J009,COUNTER,Normal,Weekend,False,False,False,39.1,28.5,31.4,2,240,0.241,28.2,13.4,69.0,0.045,0.104,0.987,Normal free-flow traffic - standard signal timing maintained
LOG1006355,2025-03-18 19:27:40.000000,J037,J022,DENY_THEN_COUNTER,Bus,Weekday,False,False,False,95.0,58.4,67.5,3,433,0.534,26.9,37.9,126.1,0.105,0.241,0.94,Bus priority granted - green extension issued to reduce transit delay
LOG1006356,2025-11-21 18:41:21.000000,J010,J026,DENY_THEN_COUNTER,Normal,Weekday,False,False,False,84.5,76.0,77.0,3,432,0.875,11.6,61.5,108.1,0.055,0.128,0.917,Heavy congestion detected - signal timing extended and reroute suggested
LOG1006357,2026-06-19 10:24:18.000000,J003,J035,COUNTER,Normal,Weekday,False,False,False,60.2,52.1,54.4,2,257,0.555,21.7,36.0,107.2,0.058,0.134,0.946,Moderate traffic flow - standard adaptive signal timing in effect
LOG1006358,2025-12-25 09:04:49.000000,J020,J002,COUNTER,Bus,Weekday,True,False,False,102.0,57.3,73.2,2,266,0.618,19.7,40.2,125.2,0.073,0.168,0.903,Bus priority granted - green extension issued to reduce transit delay
LOG1006359,2026-05-21 10:19:42.000000,J015,J007,COUNTER,Normal,Weekday,False,False,False,64.4,36.5,44.1,2,297,0.592,19.3,36.0,190.8,0.1,0.23,0.95,Moderate traffic flow - standard adaptive signal timing in effect
LOG1006360,2025-11-22 16:15:35.000000,J031,J001,DENY_THEN_COUNTER,Normal,Weekend,False,True,False,57.0,46.1,53.9,4,434,0.558,19.9,38.7,92.1,0.05,0.117,0.852,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
LOG1006361,2025-01-03 20:10:49.000000,J012,J001,DENY_THEN_COUNTER,Normal,Weekday,False,False,False,61.0,38.2,42.2,3,369,0.598,25.5,45.1,112.8,0.073,0.169,0.952,Moderate traffic flow - standard adaptive signal timing in effect
LOG1006362,2025-09-30 12:34:02.000000,J001,J013,COUNTER,Normal,Weekday,False,False,False,22.6,17.2,17.0,2,271,0.144,29.0,2.0,92.4,0.069,0.159,0.961,Normal free-flow traffic - standard signal timing maintained
LOG1006363,2025-08-24 19:49:15.000000,J023,J024,DENY_THEN_COUNTER,Normal,Weekend,False,True,False,63.2,42.5,45.8,3,354,0.588,20.5,43.3,191.6,0.121,0.28,0.891,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
LOG1006364,2025-10-16 20:59:42.000000,J005,J033,GRANT,Normal,Weekday,False,False,False,42.2,42.2,37.9,1,212,0.348,31.0,21.8,66.5,0.05,0.116,0.961,Moderate traffic flow - standard adaptive signal timing in effect
LOG1006365,2025-05-24 16:40:45.000000,J024,J040,GRANT,Normal,Weekend,False,False,False,40.0,40.0,42.4,1,269,0.315,26.8,17.1,74.5,0.044,0.101,0.965,Moderate traffic flow - standard adaptive signal timing in effect
LOG1006366,2025-08-06 12:00:48.000000,J009,J037,GRANT,Normal,Weekday,False,False,False,27.8,27.8,27.4,1,244,0.176,26.0,11.1,74.4,0.072,0.167,0.958,Normal free-flow traffic - standard signal timing maintained
LOG1006367,2025-09-08 20:05:58.000000,J022,J012,COUNTER,Normal,Weekday,False,False,False,67.2,54.9,57.2,2,313,0.56,25.0,38.7,141.5,0.096,0.222,0.945,Moderate traffic flow - standard adaptive signal timing in effect
LOG1006368,2025-05-11 19:52:43.000000,J030,J037,COUNTER,Bus,Weekend,False,False,False,66.4,39.6,47.7,2,338,0.302,28.7,19.3,79.5,0.057,0.132,0.936,Bus priority granted - green extension issued to reduce transit delay
LOG1006369,2025-08-30 07:35:48.000000,J003,J015,GRANT,Normal,Weekend,False,False,False,53.3,53.3,53.8,1,238,0.432,28.5,32.7,98.4,0.081,0.188,0.937,Moderate traffic flow - standard adaptive signal timing in effect
LOG1006370,2025-11-06 18:45:42.000000,J019,J010,COUNTER,Bus,Weekday,False,False,False,102.0,61.0,76.0,2,251,0.614,20.9,43.7,136.1,0.09,0.208,0.942,Bus priority granted - green extension issued to reduce transit delay
LOG1006371,2025-03-21 15:17:15.000000,J010,J023,COUNTER,Normal,Weekday,False,False,False,33.4,24.7,24.9,2,395,0.229,27.0,16.7,164.8,0.129,0.298,0.935,Normal free-flow traffic - standard signal timing maintained
LOG1006372,2026-03-14 07:28:30.000000,J005,J006,GRANT,Normal,Weekend,False,False,False,41.7,41.7,39.4,1,319,0.334,24.5,19.7,123.1,0.077,0.177,0.97,Moderate traffic flow - standard adaptive signal timing in effect
LOG1006373,2025-07-03 19:28:48.000000,J004,J018,DENY_THEN_COUNTER,Normal,Weekday,False,True,False,90.0,57.6,65.9,3,424,0.896,10.0,63.5,288.9,0.118,0.273,0.87,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
LOG1006374,2025-07-25 18:15:34.000000,J041,J002,COUNTER,Bus,Weekday,False,True,False,99.1,58.4,70.1,2,330,0.622,23.6,43.1,138.0,0.103,0.237,0.915,Bus priority granted - green extension issued to reduce transit delay
LOG1006375,2025-03-12 09:27:53.000000,J034,J042,COUNTER,Normal,Weekday,False,False,False,88.7,71.1,75.9,2,305,0.835,14.1,59.6,295.5,0.158,0.364,0.915,Heavy congestion detected - signal timing extended and reroute suggested
LOG1006376,2025-11-03 17:53:16.000000,J016,J019,COUNTER,Normal,Weekday,False,False,False,90.0,61.9,69.4,2,282,0.847,16.6,56.9,132.4,0.061,0.141,0.93,Heavy congestion detected - signal timing extended and reroute suggested
LOG1006377,2025-05-27 18:04:37.000000,J031,J003,COUNTER,Bus,Weekday,False,False,False,98.6,81.7,85.7,2,312,0.557,19.1,38.2,165.7,0.105,0.243,0.944,Bus priority granted - green extension issued to reduce transit delay
LOG1006378,2025-06-20 17:45:05.000000,J018,J032,DENY_THEN_COUNTER,Normal,Weekday,False,False,False,87.5,77.7,79.6,3,289,0.767,12.5,52.1,183.4,0.087,0.202,0.94,Heavy congestion detected - signal timing extended and reroute suggested
LOG1006379,2026-04-05 09:25:35.000000,J004,J032,DENY_THEN_COUNTER,Normal,Weekend,False,False,False,63.8,43.7,48.5,3,354,0.575,20.3,36.8,117.9,0.062,0.144,0.904,Moderate traffic flow - standard adaptive signal timing in effect
LOG1006380,2025-05-05 18:31:30.000000,J027,J021,DENY_THEN_COUNTER,Normal,Weekday,False,False,False,90.0,68.7,76.0,3,371,0.877,12.9,57.8,205.2,0.105,0.243,0.897,Heavy congestion detected - signal timing extended and reroute suggested
LOG1006381,2026-03-04 18:58:04.000000,J033,J034,DENY_THEN_COUNTER,Normal,Weekday,True,False,False,90.0,67.3,71.8,4,357,0.885,10.7,54.4,288.7,0.13,0.3,0.834,Festival crowd surge detected - alternate route and extended cycle recommended
LOG1006382,2025-01-29 19:20:06.000000,J041,J035,DENY_THEN_COUNTER,Bus,Weekday,False,False,False,85.5,69.2,69.2,4,443,0.499,32.0,36.8,61.7,0.05,0.117,0.906,Bus priority granted - green extension issued to reduce transit delay
LOG1006383,2025-09-04 12:12:22.000000,J011,J029,GRANT,Normal,Weekday,False,True,False,56.9,56.9,56.0,1,236,0.465,27.2,32.4,96.6,0.073,0.169,0.922,Light rain detected - minor speed reduction advised
LOG1006384,2025-02-17 17:58:32.000000,J024,J032,COUNTER,Normal,Weekday,False,False,False,83.1,57.9,65.2,2,275,0.865,11.5,57.4,282.8,0.133,0.307,0.905,Heavy congestion detected - signal timing extended and reroute suggested
LOG1006385,2025-08-28 16:21:56.000000,J027,J012,COUNTER,Normal,Weekday,True,True,False,87.9,63.1,71.7,2,248,0.885,10.3,51.6,199.0,0.082,0.189,0.822,Festival crowd surge detected - alternate route and extended cycle recommended
LOG1006386,2025-03-02 15:17:35.000000,J004,J039,GRANT,Normal,Weekend,False,False,False,26.3,26.3,28.6,1,266,0.162,37.8,11.2,37.8,0.027,0.062,0.953,Normal free-flow traffic - standard signal timing maintained
LOG1006387,2025-12-19 20:28:25.000000,J037,J010,GRANT,Normal,Weekday,False,False,False,44.9,44.9,42.1,1,210,0.423,32.4,30.7,102.4,0.097,0.223,0.954,Moderate traffic flow - standard adaptive signal timing in effect
LOG1006388,2026-04-18 18:15:43.000000,J006,J031,COUNTER,Normal,Weekend,False,False,False,65.0,40.8,48.5,2,336,0.656,17.0,34.0,114.5,0.052,0.12,0.958,Moderate traffic flow - standard adaptive signal timing in effect
LOG1006389,2026-06-08 19:16:48.000000,J017,J021,DENY_THEN_COUNTER,Bus,Weekday,False,False,False,88.9,66.8,70.9,3,344,0.528,24.6,32.3,109.5,0.081,0.187,0.908,Bus priority granted - green extension issued to reduce transit delay
LOG1006390,2025-04-06 12:35:28.000000,J007,J032,COUNTER,Normal,Weekend,True,False,False,32.8,23.2,25.2,2,273,0.257,27.1,13.6,68.2,0.053,0.123,0.911,Moderate traffic flow - standard adaptive signal timing in effect
LOG1006391,2026-01-19 08:59:53.000000,J018,J011,COUNTER,Bus,Weekday,False,False,False,99.3,56.0,71.0,2,336,0.592,12.6,34.4,240.8,0.114,0.262,0.947,Bus priority granted - green extension issued to reduce transit delay
LOG1006392,2025-10-02 18:19:28.000000,J035,J010,COUNTER,Normal,Weekday,True,True,False,86.8,58.4,69.9,2,285,0.889,9.3,58.2,162.2,0.078,0.179,0.836,Festival crowd surge detected - alternate route and extended cycle recommended
LOG1006393,2026-01-10 12:18:48.000000,J018,J032,COUNTER,Bus,Weekend,False,False,False,32.0,25.3,29.7,2,330,0.087,33.0,3.1,66.3,0.041,0.096,0.955,Bus priority granted - green extension issued to reduce transit delay
LOG1006394,2025-01-27 04:20:35.000000,J041,J026,GRANT,Bus,Weekday,True,False,False,49.2,49.2,46.8,1,246,0.19,38.6,9.1,38.4,0.032,0.073,0.916,Bus priority granted - green extension issued to reduce transit delay
LOG1006395,2025-12-12 19:39:37.000000,J001,J041,DENY_THEN_COUNTER,Normal,Weekday,False,False,False,77.1,43.7,53.4,3,355,0.757,18.3,49.8,170.7,0.101,0.233,0.945,Heavy congestion detected - signal timing extended and reroute suggested
LOG1006396,2026-05-25 06:20:43.000000,J019,J029,COUNTER,Normal,Weekday,False,False,False,36.5,28.8,32.0,2,317,0.24,30.5,13.5,77.3,0.064,0.148,0.971,Normal free-flow traffic - standard signal timing maintained
LOG1006397,2026-04-25 15:03:32.000000,J020,J017,COUNTER,Bus,Weekend,False,False,False,40.3,28.4,31.1,2,370,0.125,35.7,5.9,63.1,0.058,0.134,0.939,Bus priority granted - green extension issued to reduce transit delay
LOG1006398,2026-05-12 07:58:14.000000,J025,J037,COUNTER,Normal,Weekday,False,False,False,71.9,53.0,63.0,2,246,0.628,20.9,42.0,108.8,0.073,0.169,0.927,Moderate traffic flow - standard adaptive signal timing in effect
LOG1006399,2026-05-09 17:44:36.000000,J009,J022,COUNTER,Bus,Weekend,False,False,False,80.3,59.8,66.1,2,309,0.4,19.0,22.6,139.3,0.065,0.15,0.958,Bus priority granted - green extension issued to reduce transit delay
LOG1006400,2026-06-12 17:36:46.000000,J003,J042,DENY_THEN_COUNTER,Bus,Weekday,False,True,False,98.5,62.4,69.5,4,435,0.623,16.4,43.2,137.4,0.069,0.159,0.869,Bus priority granted - green extension issued to reduce transit delay
LOG1006401,2025-03-19 21:19:53.000000,J005,J023,COUNTER,Bus,Weekday,False,False,False,48.7,28.9,36.1,2,293,0.205,32.9,11.6,55.9,0.061,0.142,0.928,Bus priority granted - green extension issued to reduce transit delay
LOG1006402,2026-03-02 08:16:40.000000,J016,J020,COUNTER,Bus,Weekday,False,False,False,92.0,66.9,73.1,2,289,0.53,26.5,36.5,103.4,0.061,0.141,0.937,Bus priority granted - green extension issued to reduce transit delay
LOG1006403,2025-10-30 20:21:28.000000,J039,J013,GRANT,Bus,Weekday,False,False,False,64.8,64.8,66.2,1,326,0.317,27.0,23.4,66.6,0.061,0.142,0.962,Bus priority granted - green extension issued to reduce transit delay
LOG1006404,2025-05-20 10:04:47.000000,J004,J034,COUNTER,Bus,Weekday,False,False,False,77.3,60.8,64.3,2,230,0.467,30.5,33.3,90.4,0.058,0.134,0.94,Bus priority granted - green extension issued to reduce transit delay
LOG1006405,2025-10-31 15:40:16.000000,J030,J018,COUNTER,Normal,Weekday,False,True,False,64.8,47.4,51.9,2,315,0.63,20.2,47.0,159.2,0.092,0.213,0.899,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
LOG1006406,2026-01-02 10:23:01.000000,J005,J036,DENY_THEN_COUNTER,Normal,Weekday,True,False,False,70.7,43.0,48.8,3,447,0.753,18.0,50.0,137.2,0.093,0.214,0.853,Festival crowd surge detected - alternate route and extended cycle recommended
LOG1006407,2025-01-24 19:02:56.000000,J011,J004,DENY_THEN_COUNTER,Bus,Weekday,False,False,False,96.8,78.0,84.0,3,381,0.568,19.9,41.7,124.2,0.086,0.2,0.914,Bus priority granted - green extension issued to reduce transit delay
LOG1006408,2025-11-01 08:58:44.000000,J029,J040,COUNTER,Normal,Weekend,True,False,False,83.4,58.6,69.8,2,267,0.789,12.8,51.5,259.9,0.148,0.342,0.879,Festival crowd surge detected - alternate route and extended cycle recommended
LOG1006409,2026-06-01 15:30:46.000000,J024,J002,GRANT,Normal,Weekday,False,True,False,44.1,44.1,45.7,1,294,0.371,29.9,26.0,70.2,0.063,0.145,0.905,Light rain detected - minor speed reduction advised
LOG1006410,2025-01-16 08:05:38.000000,J014,J008,COUNTER,Bus,Weekday,False,False,False,85.2,54.2,65.9,2,268,0.466,20.4,34.0,118.9,0.063,0.145,0.95,Bus priority granted - green extension issued to reduce transit delay
LOG1006411,2026-06-10 00:50:29.000000,J023,J027,GRANT,Normal,Weekday,False,False,False,25.2,25.2,25.2,1,176,0.083,41.7,5.7,46.8,0.048,0.11,0.953,Normal free-flow traffic - standard signal timing maintained
LOG1006412,2025-01-13 17:58:58.000000,J041,J013,DENY_THEN_COUNTER,Bus,Weekday,False,False,False,95.5,85.2,87.1,4,413,0.564,28.2,36.0,96.5,0.092,0.213,0.911,Bus priority granted - green extension issued to reduce transit delay
LOG1006413,2026-03-05 22:48:24.000000,J023,J037,COUNTER,Normal,Weekday,True,False,False,33.2,27.7,32.3,2,265,0.244,37.5,18.4,48.8,0.034,0.079,0.889,Normal free-flow traffic - standard signal timing maintained
LOG1006414,2025-06-01 14:09:59.000000,J001,J005,GRANT,Normal,Weekend,False,False,False,26.7,26.7,24.9,1,202,0.101,39.5,10.6,44.7,0.045,0.104,0.947,Normal free-flow traffic - standard signal timing maintained
LOG1006415,2025-10-06 11:12:17.000000,J023,J010,COUNTER,Normal,Weekday,False,False,False,38.3,23.5,26.8,2,367,0.303,34.6,21.6,69.0,0.066,0.152,0.936,Moderate traffic flow - standard adaptive signal timing in effect
LOG1006416,2025-12-12 18:54:15.000000,J023,J002,COUNTER,Bus,Weekday,False,False,False,101.9,68.3,81.4,2,298,0.607,21.2,41.5,128.2,0.08,0.185,0.958,Bus priority granted - green extension issued to reduce transit delay
LOG1006417,2025-11-14 06:19:24.000000,J029,J035,GRANT,Normal,Weekday,False,False,False,35.7,35.7,35.1,1,164,0.236,33.7,18.2,47.7,0.048,0.11,0.953,Normal free-flow traffic - standard signal timing maintained
LOG1006418,2026-04-05 14:03:50.000000,J029,J018,COUNTER,Normal,Weekend,False,False,False,19.3,14.5,18.7,2,258,0.074,35.4,5.4,41.4,0.043,0.099,0.923,Normal free-flow traffic - standard signal timing maintained
LOG1006419,2025-08-19 09:24:03.000000,J028,J019,COUNTER,Normal,Weekday,False,True,False,87.4,75.3,78.8,2,312,0.872,12.1,54.5,178.9,0.078,0.18,0.858,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
LOG1006420,2025-01-13 14:44:55.000000,J008,J001,GRANT,Normal,Weekday,False,False,False,35.0,35.0,36.8,1,287,0.244,24.3,11.3,41.2,0.024,0.055,0.975,Normal free-flow traffic - standard signal timing maintained
LOG1006421,2026-06-21 19:29:06.000000,J018,J015,DENY_THEN_COUNTER,Normal,Weekend,False,True,False,90.0,57.9,61.4,4,365,0.905,9.5,62.6,327.6,0.12,0.276,0.826,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
LOG1006422,2025-09-05 18:41:29.000000,J029,J006,DENY_THEN_COUNTER,Normal,Weekday,True,True,False,88.2,52.4,59.1,3,325,0.909,10.9,63.0,283.5,0.121,0.279,0.789,Festival crowd surge detected - alternate route and extended cycle recommended
LOG1006423,2026-02-05 16:07:50.000000,J022,J018,GRANT,Normal,Weekday,False,False,False,44.1,44.1,45.8,1,233,0.334,28.5,19.3,81.9,0.064,0.148,0.937,Moderate traffic flow - standard adaptive signal timing in effect
LOG1006424,2025-05-15 18:30:32.000000,J038,J002,DENY_THEN_COUNTER,Bus,Weekday,False,False,False,102.0,59.2,69.2,3,338,0.623,25.9,44.9,144.5,0.136,0.315,0.959,Bus priority granted - green extension issued to reduce transit delay
LOG1006425,2025-05-18 14:17:04.000000,J011,J010,COUNTER,Normal,Weekend,False,False,False,28.1,15.6,19.7,2,349,0.211,39.1,12.5,63.6,0.074,0.17,0.947,Normal free-flow traffic - standard signal timing maintained
LOG1006426,2025-06-19 20:15:18.000000,J028,J039,COUNTER,Bus,Weekday,False,False,False,64.0,39.9,48.5,2,299,0.337,27.2,18.8,67.4,0.056,0.129,0.919,Bus priority granted - green extension issued to reduce transit delay
LOG1006427,2025-06-08 09:54:30.000000,J011,J024,COUNTER,Normal,Weekend,False,True,False,72.8,64.1,67.4,2,285,0.69,20.5,49.3,156.7,0.083,0.193,0.905,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
LOG1006428,2025-09-28 21:47:01.000000,J032,J021,COUNTER,Normal,Weekend,False,True,False,59.6,34.6,45.0,2,298,0.471,16.9,28.0,128.9,0.078,0.179,0.885,Light rain detected - minor speed reduction advised
LOG1006429,2025-05-15 17:51:23.000000,J016,J029,COUNTER,Normal,Weekday,False,False,False,79.2,61.8,69.5,2,319,0.752,14.5,44.6,199.4,0.108,0.249,0.962,Heavy congestion detected - signal timing extended and reroute suggested
LOG1006430,2025-08-18 21:05:10.000000,J025,J011,COUNTER,Normal,Weekday,False,False,False,45.4,40.8,43.0,2,245,0.334,25.3,24.8,115.9,0.069,0.16,0.934,Moderate traffic flow - standard adaptive signal timing in effect
LOG1006431,2026-02-14 08:05:43.000000,J013,J032,DENY_THEN_COUNTER,Normal,Weekend,False,False,False,57.7,36.1,39.7,4,509,0.556,18.9,35.8,123.1,0.074,0.171,0.94,Moderate traffic flow - standard adaptive signal timing in effect
LOG1006432,2025-10-09 20:18:51.000000,J030,J012,DENY_THEN_COUNTER,Normal,Weekday,False,True,False,83.8,47.3,55.9,3,321,0.807,12.3,53.9,162.8,0.06,0.139,0.909,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
LOG1006433,2025-07-22 15:54:59.000000,J004,J014,COUNTER,Normal,Weekday,False,True,False,52.6,44.7,52.8,2,324,0.383,28.5,31.2,70.3,0.061,0.14,0.91,Light rain detected - minor speed reduction advised
LOG1006434,2026-06-23 22:57:37.000000,J020,J034,COUNTER,Bus,Weekday,False,False,False,35.2,28.7,31.2,2,287,0.069,37.3,4.2,37.5,0.03,0.07,0.967,Bus priority granted - green extension issued to reduce transit delay
LOG1006435,2025-08-02 14:10:49.000000,J027,J034,COUNTER,Normal,Weekend,False,True,False,39.7,29.7,31.2,2,295,0.307,26.3,20.0,73.1,0.038,0.087,0.91,Light rain detected - minor speed reduction advised
LOG1006436,2026-01-26 18:08:10.000000,J003,J002,DENY_THEN_COUNTER,Bus,Weekday,True,False,False,102.0,83.7,87.6,4,396,0.598,21.3,37.9,153.8,0.109,0.253,0.869,Bus priority granted - green extension issued to reduce transit delay
LOG1006437,2025-05-31 09:47:00.000000,J007,J011,COUNTER,Bus,Weekend,False,False,False,65.7,45.1,52.1,2,380,0.343,28.3,22.5,69.3,0.046,0.107,0.927,Bus priority granted - green extension issued to reduce transit delay
LOG1006438,2026-03-06 18:06:40.000000,J021,J007,DENY_THEN_COUNTER,Normal,Weekday,False,False,False,90.0,58.8,67.2,4,419,0.894,10.2,57.2,230.1,0.097,0.224,0.885,Heavy congestion detected - signal timing extended and reroute suggested
LOG1006439,2025-05-21 08:30:38.000000,J037,J011,COUNTER,Bus,Weekday,False,False,False,99.9,87.0,90.0,2,346,0.563,22.0,35.6,95.7,0.066,0.153,0.971,Bus priority granted - green extension issued to reduce transit delay
LOG1006440,2025-02-04 18:37:18.000000,J003,J032,DENY_THEN_COUNTER,Normal,Weekday,False,False,False,90.0,53.7,60.7,4,434,0.906,11.1,58.2,171.4,0.085,0.196,0.9,Heavy congestion detected - signal timing extended and reroute suggested
LOG1006441,2025-07-20 08:42:16.000000,J002,J031,DENY_THEN_COUNTER,Normal,Weekend,False,False,False,68.1,44.2,45.8,4,423,0.66,16.6,50.5,109.4,0.047,0.108,0.906,Moderate traffic flow - standard adaptive signal timing in effect
LOG1006442,2026-04-03 18:14:05.000000,J023,J033,DENY_THEN_COUNTER,Normal,Weekday,False,False,False,90.0,69.9,74.6,3,346,0.88,9.8,60.0,219.0,0.093,0.215,0.885,Heavy congestion detected - signal timing extended and reroute suggested
LOG1006443,2025-12-02 19:22:01.000000,J036,J012,COUNTER,Normal,Weekday,False,False,False,81.4,67.6,73.1,2,320,0.759,16.2,49.6,155.3,0.09,0.208,0.942,Heavy congestion detected - signal timing extended and reroute suggested
LOG1006444,2025-07-11 10:56:46.000000,J007,J026,GRANT,Normal,Weekday,False,True,False,60.3,60.3,58.7,1,277,0.482,24.5,37.4,102.8,0.065,0.15,0.908,Light rain detected - minor speed reduction advised
LOG1006445,2026-06-17 09:39:58.000000,J022,J038,DENY_THEN_COUNTER,Normal,Weekday,False,False,False,87.4,49.1,58.6,4,462,0.808,14.2,53.7,139.6,0.089,0.206,0.888,Heavy congestion detected - signal timing extended and reroute suggested
LOG1006446,2026-02-21 14:56:40.000000,J032,J012,COUNTER,Normal,Weekend,False,False,False,24.2,16.5,17.9,2,292,0.103,37.5,8.5,45.4,0.03,0.069,0.93,Normal free-flow traffic - standard signal timing maintained
LOG1006447,2026-03-01 12:25:05.000000,J023,J026,COUNTER,Normal,Weekend,False,False,False,20.8,15.8,18.6,2,250,0.046,35.8,4.3,40.4,0.051,0.119,0.976,Normal free-flow traffic - standard signal timing maintained
LOG1006448,2025-10-19 08:42:01.000000,J015,J025,COUNTER,Bus,Weekend,False,False,False,76.1,43.9,51.1,2,292,0.428,19.9,31.6,121.5,0.056,0.13,0.926,Bus priority granted - green extension issued to reduce transit delay
LOG1006449,2025-11-02 08:14:04.000000,J036,J027,DENY_THEN_COUNTER,Normal,Weekend,True,False,False,72.5,40.8,45.5,4,360,0.758,15.8,52.4,182.2,0.097,0.223,0.868,Festival crowd surge detected - alternate route and extended cycle recommended
LOG1006450,2025-10-28 08:18:46.000000,J037,J010,DENY_THEN_COUNTER,Normal,Weekday,False,False,False,81.8,53.9,58.5,4,402,0.871,10.8,56.9,118.5,0.068,0.157,0.905,Heavy congestion detected - signal timing extended and reroute suggested
LOG1006451,2025-02-06 11:17:02.000000,J001,J039,GRANT,Normal,Weekday,False,False,False,41.6,41.6,42.2,1,186,0.347,30.8,18.0,77.7,0.071,0.163,0.99,Moderate traffic flow - standard adaptive signal timing in effect
LOG1006452,2025-08-18 18:51:16.000000,J024,J022,DENY_THEN_COUNTER,Normal,Weekday,False,True,False,90.0,57.5,61.6,4,406,0.905,9.6,60.3,313.1,0.126,0.291,0.835,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
LOG1006453,2025-12-24 17:27:21.000000,J001,J030,DENY_THEN_COUNTER,Normal,Weekday,False,False,False,80.8,70.2,74.2,3,341,0.745,13.9,48.2,169.0,0.088,0.204,0.94,Moderate traffic flow - standard adaptive signal timing in effect
LOG1006454,2025-08-26 18:41:08.000000,J022,J023,DENY_THEN_COUNTER,Bus,Weekday,False,False,False,94.6,64.2,69.2,3,393,0.584,21.4,37.8,120.5,0.067,0.154,0.953,Bus priority granted - green extension issued to reduce transit delay
LOG1006455,2025-02-01 14:14:39.000000,J025,J015,GRANT,Normal,Weekend,False,False,False,18.6,18.6,19.6,1,164,0.113,30.2,8.7,69.2,0.037,0.087,0.99,Normal free-flow traffic - standard signal timing maintained
LOG1006456,2025-06-12 16:08:49.000000,J020,J022,COUNTER,Normal,Weekday,False,False,False,53.0,31.2,39.3,2,206,0.436,26.8,29.1,74.9,0.045,0.104,0.958,Moderate traffic flow - standard adaptive signal timing in effect
LOG1006457,2025-12-11 08:06:27.000000,J018,J028,DENY_THEN_COUNTER,Bus,Weekday,False,False,False,86.6,77.1,81.1,4,343,0.455,27.6,26.3,102.6,0.087,0.202,0.95,Bus priority granted - green extension issued to reduce transit delay
LOG1006458,2025-10-26 09:14:41.000000,J040,J023,COUNTER,Normal,Weekend,False,False,False,66.1,51.9,57.3,2,245,0.59,21.9,32.5,61.0,0.031,0.071,0.945,Moderate traffic flow - standard adaptive signal timing in effect
LOG1006459,2025-12-23 10:16:23.000000,J041,J042,DENY_THEN_COUNTER,Normal,Weekday,False,False,False,65.0,38.0,48.4,3,331,0.605,24.2,38.6,91.6,0.061,0.14,0.935,Moderate traffic flow - standard adaptive signal timing in effect
LOG1006460,2026-02-22 06:54:16.000000,J031,J012,COUNTER,Bus,Weekend,False,False,False,45.1,37.1,40.7,2,353,0.145,39.9,2.7,56.0,0.05,0.116,0.951,Bus priority granted - green extension issued to reduce transit delay
LOG1006461,2025-09-01 19:48:32.000000,J017,J028,COUNTER,Bus,Weekday,False,False,False,80.4,66.2,72.2,2,379,0.462,21.0,31.5,149.1,0.076,0.175,0.945,Bus priority granted - green extension issued to reduce transit delay
